,level_0,index,up_count,down_count,total_count,polar_score,polarity
283,1726,예상/NNG;인하/NNG,10.0,14.0,24.0,0.6645805693133584,Dovish
284,1728,가계/NNG;부채/NNG;구조/NNG;개선/NNG,10.0,29.0,39.0,0.32083199897886266,Dovish
285,1729,하락/NNG;떨어/VV,10.0,14.0,24.0,0.6645805693133584,Dovish
286,1749,성장/NNG;견인/NNG,10.0,19.0,29.0,0.48969094580984307,Dovish
287,1760,국채/NNG;하락/NNG,10.0,14.0,24.0,0.6645805693133584,Dovish
288,1768,침체/NNG;막/VV,10.0,16.0,26.0,0.5815079981491885,Dovish
289,1769,수요/NNG;약하/VA,10.0,13.0,23.0,0.7157021515682321,Dovish
290,1770,국채선물시장/NNG;강세/NNG,10.0,13.0,23.0,0.7157021515682321,Dovish
291,1778,하락/NNG,10.0,25.0,35.0,0.3721651188154807,Dovish
292,1786,가계/NNG;부채/NNG;심각/NNG,10.0,14.0,24.0,0.6645805693133584,Dovish
293,1789,일시적/VAX;충격/NNG,10.0,18.0,28.0,0.5168959983548342,Dovish
294,1792,신흥시장/NNG;이탈/NNG,10.0,15.0,25.0,0.6202751980258012,Dovish
295,1794,제한적/VAX;약세/NNG,10.0,15.0,25.0,0.6202751980258012,Dovish
296,1796,신흥시장/NNG;불안/NNG,10.0,15.0,25.0,0.6202751980258012,Dovish
